-0.14,-0.60,0.38

-0.14,-0.60,0.38

-0.05,-0.60,0.38

-0.05,-0.58,0.38

-0.14,-0.60,0.38

-0.14,-0.61,0.44

-0.17,-0.61,0.44

-0.11,-0.60,0.44

-0.14,-0.60,0.44

-0.11,-0.61,0.38

-0.08,-0.61,0.38

-0.08,-0.60,0.38

-0.11,-0.62,0.38

-0.11,-0.60,0.38

-0.17,-0.60,0.35

-0.11,-0.61,0.35

-0.11,-0.63,0.35

-0.08,-0.61,0.35

-0.14,-0.61,0.35

-0.14,-0.61,0.47

-0.11,-0.60,0.47

-0.11,-0.58,0.47

-0.08,-0.61,0.47

-0.11,-0.62,0.47

-0.11,-0.60,0.35

-0.11,-0.60,0.35

-0.11,-0.57,0.35

-0.20,-0.57,0.35

-0.08,-0.61,0.35

-0.14,-0.61,0.35

-0.20,-0.60,0.35

-0.17,-0.58,0.35

-0.11,-0.62,0.35

-0.11,-0.62,0.35

-0.14,-0.57,0.38

-0.08,-0.57,0.38

-0.14,-0.60,0.38

-0.08,-0.60,0.38

-0.11,-0.56,0.38

-0.08,-0.60,0.41

-0.17,-0.60,0.41

-0.17,-0.60,0.41

-0.08,-0.60,0.41

-0.11,-0.60,0.41

-0.14,-0.61,0.41

-0.11,-0.60,0.41

-0.14,-0.60,0.41

-0.14,-0.61,0.41

-0.08,-0.60,0.41

-0.14,-0.60,0.38

-0.08,-0.61,0.38

-0.17,-0.61,0.38

-0.17,-0.58,0.38

-0.14,-0.58,0.38

-0.08,-0.60,0.41

-0.17,-0.60,0.41

-0.11,-0.60,0.41

-0.17,-0.60,0.41

-0.11,-0.60,0.41

-0.14,-0.60,0.32

-0.11,-0.61,0.32

-0.14,-0.61,0.32

-0.08,-0.61,0.32

-0.08,-0.62,0.35

-0.05,-0.60,0.35

-0.11,-0.61,0.35

-0.14,-0.61,0.35

-0.14,-0.61,0.35

-0.17,-0.60,0.44

-0.14,-0.60,0.44

-0.17,-0.60,0.44

-0.11,-0.60,0.44

-0.11,-0.60,0.44

-0.20,-0.62,0.38

-0.14,-0.62,0.38

-0.08,-0.58,0.38

-0.14,-0.58,0.38

-0.11,-0.61,0.38

-0.11,-0.61,0.47

-0.14,-0.62,0.47

-0.11,-0.57,0.47

-0.11,-0.57,0.47

-0.14,-0.57,0.47

-0.08,-0.61,0.38

-0.05,-0.58,0.38

-0.08,-0.58,0.38

-0.14,-0.58,0.38

-0.11,-0.62,0.38

-0.14,-0.58,0.35

-0.02,-0.58,0.35

-0.08,-0.57,0.35

-0.05,-0.62,0.35

-0.08,-0.58,0.35

-0.05,-0.57,0.35

-0.11,-0.60,0.35

-0.11,-0.60,0.35

-0.14,-0.61,0.35

-0.11,-0.56,0.35

-0.14,-0.63,0.38

-0.11,-0.60,0.38

-0.11,-0.60,0.38

-0.11,-0.57,0.38
