Dual BMP280 test:
0.91,0.31

0.91,-0.62

0.93,-1.74

0.94,-1.89

1.18,-3.01

1.98,-3.11

2.85,-3.74

3.30,-4.18

4.23,-4.28

4.68,-4.96

5.53,-4.77

6.37,-5.30

6.78,-5.40

7.62,-5.45

8.40,-5.84

8.64,-5.55

8.59,-6.09

8.52,-5.84

8.47,-6.04

8.33,-6.23

8.29,-5.94

7.93,-6.53

6.15,-5.99

5.34,-6.38

3.56,-6.38

1.98,-6.18

1.44,-6.67

1.09,-6.09

1.02,-6.62

0.93,-6.38

0.92,-6.33

0.92,-6.62

0.89,-6.13

0.89,-6.77

0.88,-6.23

0.89,-6.48

0.90,-6.57

0.90,-6.28

0.86,-6.82

0.90,-6.18

0.91,-6.67

0.89,-6.48

0.92,-6.38

1.58,-6.72

2.42,-6.18

2.90,-6.77

3.81,-6.33

4.67,-6.43

5.09,-6.62

6.01,-6.23

6.38,-6.82

7.24,-6.23

8.01,-6.57

8.44,-6.57

8.56,-6.33

8.43,-6.77

8.41,-6.18

8.25,-6.67

8.25,-6.43

8.13,-6.38

7.72,-6.72

6.84,-6.18

5.04,-6.82

3.36,-6.28

2.54,-6.48

1.37,-6.62

1.06,-6.23

1.05,-6.82

0.99,-6.23

0.95,-6.62

0.94,-6.53

0.91,-6.33

0.93,-6.82

0.92,-6.18

0.92,-6.77

0.91,-6.43

0.92,-6.43

0.87,-6.67

0.93,-6.18

0.94,-6.82

0.90,-6.28

0.92,-6.48

1.24,-6.62

1.58,-6.28

2.43,-6.82

3.32,-6.18

3.75,-6.67

4.68,-6.53

5.08,-6.33

5.96,-6.77

6.76,-6.18

7.14,-6.77

7.96,-6.38

8.56,-6.43

8.55,-6.72

8.43,-6.23

8.37,-6.82

8.33,-6.28

8.24,-6.53

8.17,-6.62

8.08,-6.28

6.92,-6.82

5.93,-6.18

4.22,-6.67

2.53,-6.53

1.85,-6.33

1.16,-6.77

1.07,-6.18

1.00,-6.77

0.95,-6.38

0.95,-6.43

0.94,-6.67

0.94,-6.18

0.90,-6.82

0.92,-6.23

0.92,-6.53

0.93,-6.57

0.91,-6.28

0.92,-6.82

0.90,-6.23

0.88,-6.72

0.94,-6.53

1.17,-6.38

1.95,-6.77

2.39,-6.18

3.22,-6.77

3.71,-6.43

4.67,-6.43

5.41,-6.72

5.84,-6.23

6.70,-6.87

7.54,-6.28

7.94,-6.53

8.55,-6.62

8.49,-6.28

8.41,-6.82

8.34,-6.18

8.29,-6.62

8.22,-6.57

8.10,-6.38

8.02,-6.82

6.58,-6.23

4.77,-6.77

3.82,-6.48

2.26,-6.43

1.26,-6.72

1.15,-6.18

0.98,-6.82

0.98,-6.33

0.96,-6.48

0.92,-6.72

0.91,-6.28

0.94,-6.87

0.89,-6.23

0.90,-6.57

0.94,-6.62

0.93,-6.28

0.92,-6.87

0.90,-6.18

0.93,-6.72

0.94,-6.53

0.99,-6.38

1.33,-6.82

2.05,-6.18

2.95,-6.77

3.40,-6.43

4.34,-6.43

4.79,-6.72

5.61,-6.18

6.45,-6.82

6.83,-6.28

7.64,-6.48

8.42,-6.62

8.53,-6.28

8.47,-6.87

8.34,-6.23

8.31,-6.62

8.22,-6.62

8.16,-6.33

8.04,-6.82

7.06,-6.18

6.11,-6.72

4.31,-6.53

2.62,-6.38

1.94,-6.77

1.25,-6.23

1.11,-6.77

1.00,-6.43

0.90,-6.48

0.92,-6.67

0.88,-6.28

0.91,-6.77

0.89,-6.33

0.86,-6.53

0.86,-6.62

0.90,-6.28

0.93,-6.87

0.91,-6.23

0.85,-6.67

0.91,-6.57

0.89,-6.33

1.11,-6.82

1.84,-6.18

2.25,-6.77

3.06,-6.48

3.59,-6.38

4.52,-6.77

5.33,-6.18

5.77,-6.82

6.58,-6.38

7.40,-6.43

7.86,-6.72

8.46,-6.18

8.46,-6.82

8.45,-6.28

8.32,-6.48

8.27,-6.62

8.18,-6.28

8.04,-6.87

7.94,-6.23

6.43,-6.67

4.63,-6.57

3.75,-6.33

2.18,-6.82

1.21,-6.18

1.08,-6.77

0.95,-6.48

0.95,-6.38

0.88,-6.77

0.88,-6.23

0.90,-6.82

0.88,-6.43

0.91,-6.48

0.91,-6.72

0.88,-6.18

0.88,-6.87

0.86,-6.28

0.88,-6.53

0.89,-6.62

0.87,-6.23

1.02,-6.87

1.28,-6.23

2.09,-6.67

2.95,-6.62

3.41,-6.38

4.35,-6.87

4.79,-6.28

5.61,-6.77

6.45,-6.53

6.83,-6.48

7.62,-6.72

8.43,-6.28

8.48,-6.82

8.40,-6.48

8.35,-6.48

8.27,-6.72

8.16,-6.23

8.08,-6.92

8.00,-6.28

6.94,-6.53

6.01,-6.67

4.26,-6.28

2.52,-6.92

1.83,-6.28

1.14,-6.72

1.02,-6.62

0.94,-6.43

0.89,-6.87

0.88,-6.33

0.89,-6.82

0.85,-6.57

0.84,-6.48

0.86,-6.77

0.87,-6.33

0.87,-6.87

0.90,-6.48

0.84,-6.57

0.91,-6.82

0.89,-6.33

0.85,-6.87

1.07,-6.38

1.84,-6.53

2.28,-6.67

3.17,-6.33

3.62,-6.87

4.53,-6.23

5.34,-6.67

5.75,-6.62

6.64,-6.38

7.46,-6.87

